haskellPackages.actor                                        actor-0.1.1
haskellPackages.ad                                           ad-4.3.4
haskellPackages.Adaptive                                     Adaptive-0.23
haskellPackages.Adaptive-Blaisorblade                        Adaptive-Blaisorblade-0.23
haskellPackages.adaptive-containers                          adaptive-containers-0.3
haskellPackages.adaptive-tuple                               adaptive-tuple-0.2.0
haskellPackages.adb                                          adb-0.1.0.0
haskellPackages.adblock2privoxy                              adblock2privoxy-1.4.2
haskellPackages.addLicenseInfo                               addLicenseInfo-0.1
haskellPackages.adhoc-network                                adhoc-network-1.0.3
haskellPackages.adict                                        adict-0.4.1
haskellPackages.adjunctions                                  adjunctions-4.3
haskellPackages.adler32                                      adler32-0.1.1.0
haskellPackages.adobe-swatch-exchange                        adobe-swatch-exchange-0.2.0
haskellPackages.adp-multi                                    adp-multi-0.2.3
haskellPackages.adp-multi-monadiccp                          adp-multi-monadiccp-0.2.1
haskellPackages.ADPfusion                                    ADPfusion-0.5.2.2
haskellPackages.ADPfusionSet                                 ADPfusionSet-0.0.0.1
haskellPackages.Advgame                                      Advgame-0.1.2
haskellPackages.AERN-Basics                                  AERN-Basics-2011.1.0.1
haskellPackages.AERN-Net                                     AERN-Net-0.2.1.1
haskellPackages.AERN-Real                                    AERN-Real-2011.1.0.1
haskellPackages.AERN-Real-Double                             AERN-Real-Double-2011.1.0.2
haskellPackages.AERN-Real-Interval                           AERN-Real-Interval-2011.1.0.1
haskellPackages.AERN-RnToRm                                  AERN-RnToRm-0.5.0.1
haskellPackages.AERN-RnToRm-Plot                             AERN-RnToRm-Plot-0.2.0.3
haskellPackages.AES                                          AES-0.2.9
haskellPackages.aeson_0_11_3_0                               aeson-0.11.3.0
haskellPackages.aeson_0_7_0_6                                aeson-0.7.0.6
haskellPackages.aeson                                        aeson-1.1.2.0
haskellPackages.aeson_1_2_1_0                                aeson-1.2.1.0
haskellPackages.aeson-applicative                            aeson-applicative-0.1.0.0
haskellPackages.aeson-better-errors                          aeson-better-errors-0.9.1.0
haskellPackages.aeson-bson                                   aeson-bson-0.3.0
haskellPackages.aeson-casing                                 aeson-casing-0.1.0.5
haskellPackages.aeson-coerce                                 aeson-coerce-0.1.0.0
haskellPackages.aeson-compat                                 aeson-compat-0.3.6
haskellPackages.aeson-compat_0_3_7_1                         aeson-compat-0.3.7.1
haskellPackages.aeson-diff_1_1_0_2                           aeson-diff-1.1.0.2
haskellPackages.aeson-diff                                   aeson-diff-1.1.0.3
haskellPackages.aeson-extra                                  aeson-extra-0.4.0.0
haskellPackages.aeson-extra_0_4_1_0                          aeson-extra-0.4.1.0
haskellPackages.aeson-filthy                                 aeson-filthy-0.1.1
haskellPackages.aeson-flat                                   aeson-flat-0.1.1
haskellPackages.aeson-flatten                                aeson-flatten-0.1.0.2
haskellPackages.aeson-flowtyped                              aeson-flowtyped-0.9.1
haskellPackages.aeson-generic-compat                         aeson-generic-compat-0.0.1.0
haskellPackages.aeson-injector                               aeson-injector-1.0.10.0
haskellPackages.aeson-iproute                                aeson-iproute-0.1.1
haskellPackages.aeson-json-ast                               aeson-json-ast-0.1.1
haskellPackages.aeson-lens                                   aeson-lens-0.5.0.0
haskellPackages.aeson-native                                 aeson-native-0.3.3.2
haskellPackages.aeson-parsec-picky                           aeson-parsec-picky-0.1.0.1
haskellPackages.aeson-prefix                                 aeson-prefix-0.1.0.2
haskellPackages.aeson-pretty_0_7_2                           aeson-pretty-0.7.2
haskellPackages.aeson-pretty                                 aeson-pretty-0.8.5
haskellPackages.aeson-qq                                     aeson-qq-0.8.2
haskellPackages.aeson-quick                                  aeson-quick-0.1.1.2
haskellPackages.aeson-schema                                 aeson-schema-0.4.1.1
haskellPackages.aeson-serialize                              aeson-serialize-0.0.0
haskellPackages.aeson-smart                                  aeson-smart-0.2.0.0
haskellPackages.aeson-streams                                aeson-streams-0.1.0
haskellPackages.aeson-t                                      aeson-t-0.0.5
haskellPackages.aeson-toolkit                                aeson-toolkit-0.0.1
haskellPackages.aeson-utils                                  aeson-utils-0.3.0.2
haskellPackages.aeson-value-parser                           aeson-value-parser-0.12.2
haskellPackages.aeson-yak                                    aeson-yak-0.1.1.1
haskellPackages.AesonBson                                    AesonBson-0.2.2
haskellPackages.affection                                    affection-0.0.0.6
haskellPackages.affine-invariant-ensemble-mcmc               affine-invariant-ensemble-mcmc-0.2.0.0
haskellPackages.affinely-extended                            affinely-extended-0.1.0.0
haskellPackages.afis                                         afis-0.1.2
haskellPackages.AFSM                                         AFSM-0.1.3.1
haskellPackages.afv                                          afv-0.1.1
haskellPackages.ag-pictgen                                   ag-pictgen-1.0.0.0
haskellPackages.Agata                                        Agata-0.2.1.1
haskellPackages.Agda-executable                              Agda-executable-2.3.0.1
haskellPackages.agda-server                                  agda-server-0.1.1
haskellPackages.agda-snippets                                agda-snippets-2.5.2
haskellPackages.agda-snippets-hakyll                         agda-snippets-hakyll-0.1.2.2
haskellPackages.agentx                                       agentx-0.2.0.0
haskellPackages.AGI                                          AGI-1.3
haskellPackages.agum                                         agum-2.6
haskellPackages.AhoCorasick                                  AhoCorasick-0.0.3
haskellPackages.aig                                          aig-0.2.5
haskellPackages.aip                                          aip-0.0.1
haskellPackages.air                                          air-2015.5.4
